id,location_id,village_id,source_year,population,households,male_population,female_population,workers,main_workers,marginal_workers,literacy_rate,sc_population,other_available_indicators,source_id,confidence,data_status
DEMO-035366-2011,LOC-VIL-035366,VIL-PB-035366,2011,1779,360,911,868,610,490,120,58.4,882,"{""agricultural_laborers"": 155, ""cultivators"": 162, ""household_industry_workers"": 7, ""other_workers"": 166, ""children_0_6"": 191, ""non_working_population"": 1169, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 81}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035367-2011,LOC-VIL-035367,VIL-PB-035367,2011,1690,288,918,772,806,560,246,52.31,992,"{""agricultural_laborers"": 309, ""cultivators"": 82, ""household_industry_workers"": 4, ""other_workers"": 165, ""children_0_6"": 211, ""non_working_population"": 884, ""marginal_cultivators"": 3, ""marginal_agri_labourers"": 126}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035371-2011,LOC-VIL-035371,VIL-PB-035371,2011,978,204,514,464,346,323,23,55.52,635,"{""agricultural_laborers"": 146, ""cultivators"": 70, ""household_industry_workers"": 17, ""other_workers"": 90, ""children_0_6"": 102, ""non_working_population"": 632, ""marginal_cultivators"": 2, ""marginal_agri_labourers"": 15}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035373-2011,LOC-VIL-035373,VIL-PB-035373,2011,2246,464,1181,1065,717,714,3,45.5,1636,"{""agricultural_laborers"": 472, ""cultivators"": 154, ""household_industry_workers"": 17, ""other_workers"": 71, ""children_0_6"": 297, ""non_working_population"": 1529, ""marginal_cultivators"": 2, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035376-2011,LOC-VIL-035376,VIL-PB-035376,2011,4562,939,2389,2173,1655,1474,181,55.26,2781,"{""agricultural_laborers"": 812, ""cultivators"": 409, ""household_industry_workers"": 11, ""other_workers"": 242, ""children_0_6"": 498, ""non_working_population"": 2907, ""marginal_cultivators"": 7, ""marginal_agri_labourers"": 140}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035377-2011,LOC-VIL-035377,VIL-PB-035377,2011,521,106,246,275,193,36,157,48.94,318,"{""agricultural_laborers"": 9, ""cultivators"": 15, ""household_industry_workers"": 0, ""other_workers"": 12, ""children_0_6"": 70, ""non_working_population"": 328, ""marginal_cultivators"": 6, ""marginal_agri_labourers"": 89}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035378-2011,LOC-VIL-035378,VIL-PB-035378,2011,7669,1500,4100,3569,2621,2413,208,51.14,4239,"{""agricultural_laborers"": 1219, ""cultivators"": 790, ""household_industry_workers"": 30, ""other_workers"": 374, ""children_0_6"": 842, ""non_working_population"": 5048, ""marginal_cultivators"": 7, ""marginal_agri_labourers"": 74}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035379-2011,LOC-VIL-035379,VIL-PB-035379,2011,2738,533,1411,1327,1084,1076,8,51.9,1726,"{""agricultural_laborers"": 717, ""cultivators"": 132, ""household_industry_workers"": 7, ""other_workers"": 220, ""children_0_6"": 341, ""non_working_population"": 1654, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 6}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035380-2011,LOC-VIL-035380,VIL-PB-035380,2011,3516,745,1865,1651,1595,1222,373,51.76,2475,"{""agricultural_laborers"": 753, ""cultivators"": 161, ""household_industry_workers"": 0, ""other_workers"": 308, ""children_0_6"": 451, ""non_working_population"": 1921, ""marginal_cultivators"": 11, ""marginal_agri_labourers"": 326}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035381-2011,LOC-VIL-035381,VIL-PB-035381,2011,2117,371,1131,986,829,659,170,53.9,886,"{""agricultural_laborers"": 292, ""cultivators"": 293, ""household_industry_workers"": 8, ""other_workers"": 66, ""children_0_6"": 228, ""non_working_population"": 1288, ""marginal_cultivators"": 11, ""marginal_agri_labourers"": 138}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035382-2011,LOC-VIL-035382,VIL-PB-035382,2011,2515,512,1357,1158,1056,1019,37,57.93,1099,"{""agricultural_laborers"": 536, ""cultivators"": 369, ""household_industry_workers"": 10, ""other_workers"": 104, ""children_0_6"": 259, ""non_working_population"": 1459, ""marginal_cultivators"": 4, ""marginal_agri_labourers"": 24}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035383-2011,LOC-VIL-035383,VIL-PB-035383,2011,2661,509,1434,1227,1309,899,410,50.43,1724,"{""agricultural_laborers"": 674, ""cultivators"": 167, ""household_industry_workers"": 2, ""other_workers"": 56, ""children_0_6"": 332, ""non_working_population"": 1352, ""marginal_cultivators"": 30, ""marginal_agri_labourers"": 360}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035384-2011,LOC-VIL-035384,VIL-PB-035384,2011,5554,1044,2884,2670,1783,1644,139,57.06,3022,"{""agricultural_laborers"": 815, ""cultivators"": 262, ""household_industry_workers"": 10, ""other_workers"": 557, ""children_0_6"": 741, ""non_working_population"": 3771, ""marginal_cultivators"": 17, ""marginal_agri_labourers"": 108}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035385-2011,LOC-VIL-035385,VIL-PB-035385,2011,1419,274,755,664,665,535,130,51.73,503,"{""agricultural_laborers"": 215, ""cultivators"": 194, ""household_industry_workers"": 9, ""other_workers"": 117, ""children_0_6"": 215, ""non_working_population"": 754, ""marginal_cultivators"": 56, ""marginal_agri_labourers"": 33}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035386-2011,LOC-VIL-035386,VIL-PB-035386,2011,1685,318,891,794,689,321,368,58.46,749,"{""agricultural_laborers"": 2, ""cultivators"": 250, ""household_industry_workers"": 4, ""other_workers"": 65, ""children_0_6"": 174, ""non_working_population"": 996, ""marginal_cultivators"": 4, ""marginal_agri_labourers"": 355}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035387-2011,LOC-VIL-035387,VIL-PB-035387,2011,2394,468,1244,1150,939,932,7,58.27,1049,"{""agricultural_laborers"": 329, ""cultivators"": 240, ""household_industry_workers"": 8, ""other_workers"": 355, ""children_0_6"": 238, ""non_working_population"": 1455, ""marginal_cultivators"": 3, ""marginal_agri_labourers"": 3}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035388-2011,LOC-VIL-035388,VIL-PB-035388,2011,1283,233,683,600,500,466,34,66.1,370,"{""agricultural_laborers"": 33, ""cultivators"": 83, ""household_industry_workers"": 5, ""other_workers"": 345, ""children_0_6"": 126, ""non_working_population"": 783, ""marginal_cultivators"": 12, ""marginal_agri_labourers"": 2}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035389-2011,LOC-VIL-035389,VIL-PB-035389,2011,688,129,368,320,378,236,142,56.98,238,"{""agricultural_laborers"": 74, ""cultivators"": 107, ""household_industry_workers"": 1, ""other_workers"": 54, ""children_0_6"": 90, ""non_working_population"": 310, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 53}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035390-2011,LOC-VIL-035390,VIL-PB-035390,2011,2511,487,1297,1214,862,830,32,53.92,1473,"{""agricultural_laborers"": 407, ""cultivators"": 286, ""household_industry_workers"": 2, ""other_workers"": 135, ""children_0_6"": 321, ""non_working_population"": 1649, ""marginal_cultivators"": 2, ""marginal_agri_labourers"": 22}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035391-2011,LOC-VIL-035391,VIL-PB-035391,2011,1484,283,785,699,797,453,344,61.39,720,"{""agricultural_laborers"": 200, ""cultivators"": 185, ""household_industry_workers"": 3, ""other_workers"": 65, ""children_0_6"": 161, ""non_working_population"": 687, ""marginal_cultivators"": 22, ""marginal_agri_labourers"": 222}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035392-2011,LOC-VIL-035392,VIL-PB-035392,2011,3317,633,1736,1581,1503,1232,271,55.53,1509,"{""agricultural_laborers"": 648, ""cultivators"": 396, ""household_industry_workers"": 15, ""other_workers"": 173, ""children_0_6"": 340, ""non_working_population"": 1814, ""marginal_cultivators"": 27, ""marginal_agri_labourers"": 80}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035393-2011,LOC-VIL-035393,VIL-PB-035393,2011,2727,528,1399,1328,993,867,126,57.02,1593,"{""agricultural_laborers"": 414, ""cultivators"": 239, ""household_industry_workers"": 17, ""other_workers"": 197, ""children_0_6"": 279, ""non_working_population"": 1734, ""marginal_cultivators"": 6, ""marginal_agri_labourers"": 76}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035394-2011,LOC-VIL-035394,VIL-PB-035394,2011,3729,758,1943,1786,1424,1136,288,49.37,2255,"{""agricultural_laborers"": 387, ""cultivators"": 320, ""household_industry_workers"": 8, ""other_workers"": 421, ""children_0_6"": 431, ""non_working_population"": 2305, ""marginal_cultivators"": 8, ""marginal_agri_labourers"": 132}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035395-2011,LOC-VIL-035395,VIL-PB-035395,2011,9079,1916,4939,4140,3549,2654,895,57.63,4683,"{""agricultural_laborers"": 884, ""cultivators"": 587, ""household_industry_workers"": 85, ""other_workers"": 1098, ""children_0_6"": 1154, ""non_working_population"": 5530, ""marginal_cultivators"": 49, ""marginal_agri_labourers"": 529}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035396-2011,LOC-VIL-035396,VIL-PB-035396,2011,4483,854,2369,2114,1385,1269,116,52.42,1953,"{""agricultural_laborers"": 478, ""cultivators"": 541, ""household_industry_workers"": 5, ""other_workers"": 245, ""children_0_6"": 519, ""non_working_population"": 3098, ""marginal_cultivators"": 18, ""marginal_agri_labourers"": 69}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035397-2011,LOC-VIL-035397,VIL-PB-035397,2011,2750,510,1482,1268,1182,893,289,48.44,1767,"{""agricultural_laborers"": 474, ""cultivators"": 245, ""household_industry_workers"": 14, ""other_workers"": 160, ""children_0_6"": 380, ""non_working_population"": 1568, ""marginal_cultivators"": 15, ""marginal_agri_labourers"": 239}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035398-2011,LOC-VIL-035398,VIL-PB-035398,2011,1989,396,1067,922,661,659,2,45.7,1337,"{""agricultural_laborers"": 412, ""cultivators"": 100, ""household_industry_workers"": 5, ""other_workers"": 142, ""children_0_6"": 263, ""non_working_population"": 1328, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035399-2011,LOC-VIL-035399,VIL-PB-035399,2011,0,0,0,0,0,0,0,0.0,0,"{""agricultural_laborers"": 0, ""cultivators"": 0, ""household_industry_workers"": 0, ""other_workers"": 0, ""children_0_6"": 0, ""non_working_population"": 0, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035400-2011,LOC-VIL-035400,VIL-PB-035400,2011,2607,488,1384,1223,949,765,184,58.3,1233,"{""agricultural_laborers"": 229, ""cultivators"": 337, ""household_industry_workers"": 14, ""other_workers"": 185, ""children_0_6"": 282, ""non_working_population"": 1658, ""marginal_cultivators"": 9, ""marginal_agri_labourers"": 39}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035401-2011,LOC-VIL-035401,VIL-PB-035401,2011,6814,1356,3602,3212,2690,2539,151,58.07,2989,"{""agricultural_laborers"": 1121, ""cultivators"": 934, ""household_industry_workers"": 29, ""other_workers"": 455, ""children_0_6"": 681, ""non_working_population"": 4124, ""marginal_cultivators"": 18, ""marginal_agri_labourers"": 63}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035402-2011,LOC-VIL-035402,VIL-PB-035402,2011,2330,409,1225,1105,1126,723,403,60.3,1167,"{""agricultural_laborers"": 246, ""cultivators"": 257, ""household_industry_workers"": 29, ""other_workers"": 191, ""children_0_6"": 235, ""non_working_population"": 1204, ""marginal_cultivators"": 9, ""marginal_agri_labourers"": 54}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035403-2011,LOC-VIL-035403,VIL-PB-035403,2011,1696,340,861,835,535,518,17,55.25,817,"{""agricultural_laborers"": 162, ""cultivators"": 157, ""household_industry_workers"": 3, ""other_workers"": 196, ""children_0_6"": 198, ""non_working_population"": 1161, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 2}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035404-2011,LOC-VIL-035404,VIL-PB-035404,2011,3940,730,2084,1856,1402,1252,150,57.74,1725,"{""agricultural_laborers"": 532, ""cultivators"": 392, ""household_industry_workers"": 26, ""other_workers"": 302, ""children_0_6"": 475, ""non_working_population"": 2538, ""marginal_cultivators"": 3, ""marginal_agri_labourers"": 65}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035405-2011,LOC-VIL-035405,VIL-PB-035405,2011,1201,219,614,587,376,376,0,54.7,341,"{""agricultural_laborers"": 115, ""cultivators"": 227, ""household_industry_workers"": 15, ""other_workers"": 19, ""children_0_6"": 140, ""non_working_population"": 825, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035406-2011,LOC-VIL-035406,VIL-PB-035406,2011,832,165,441,391,289,262,27,52.4,480,"{""agricultural_laborers"": 120, ""cultivators"": 80, ""household_industry_workers"": 29, ""other_workers"": 33, ""children_0_6"": 100, ""non_working_population"": 543, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 9}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035407-2011,LOC-VIL-035407,VIL-PB-035407,2011,2020,354,1053,967,612,537,75,50.99,784,"{""agricultural_laborers"": 161, ""cultivators"": 251, ""household_industry_workers"": 1, ""other_workers"": 124, ""children_0_6"": 272, ""non_working_population"": 1408, ""marginal_cultivators"": 2, ""marginal_agri_labourers"": 58}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035408-2011,LOC-VIL-035408,VIL-PB-035408,2011,1919,373,1025,894,628,625,3,58.57,788,"{""agricultural_laborers"": 213, ""cultivators"": 300, ""household_industry_workers"": 6, ""other_workers"": 106, ""children_0_6"": 222, ""non_working_population"": 1291, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035409-2011,LOC-VIL-035409,VIL-PB-035409,2011,1324,246,670,654,546,530,16,53.47,605,"{""agricultural_laborers"": 260, ""cultivators"": 222, ""household_industry_workers"": 1, ""other_workers"": 47, ""children_0_6"": 175, ""non_working_population"": 778, ""marginal_cultivators"": 2, ""marginal_agri_labourers"": 12}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035410-2011,LOC-VIL-035410,VIL-PB-035410,2011,40,6,21,19,16,16,0,67.5,0,"{""agricultural_laborers"": 0, ""cultivators"": 13, ""household_industry_workers"": 0, ""other_workers"": 3, ""children_0_6"": 7, ""non_working_population"": 24, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035411-2011,LOC-VIL-035411,VIL-PB-035411,2011,2256,416,1182,1074,940,752,188,52.75,507,"{""agricultural_laborers"": 159, ""cultivators"": 416, ""household_industry_workers"": 7, ""other_workers"": 170, ""children_0_6"": 298, ""non_working_population"": 1316, ""marginal_cultivators"": 3, ""marginal_agri_labourers"": 1}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035412-2011,LOC-VIL-035412,VIL-PB-035412,2011,954,186,527,427,309,274,35,55.87,190,"{""agricultural_laborers"": 59, ""cultivators"": 164, ""household_industry_workers"": 3, ""other_workers"": 48, ""children_0_6"": 103, ""non_working_population"": 645, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 25}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035413-2011,LOC-VIL-035413,VIL-PB-035413,2011,2413,485,1254,1159,761,683,78,48.36,1726,"{""agricultural_laborers"": 437, ""cultivators"": 186, ""household_industry_workers"": 5, ""other_workers"": 55, ""children_0_6"": 306, ""non_working_population"": 1652, ""marginal_cultivators"": 3, ""marginal_agri_labourers"": 66}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035414-2011,LOC-VIL-035414,VIL-PB-035414,2011,800,147,416,384,229,223,6,46.5,298,"{""agricultural_laborers"": 100, ""cultivators"": 102, ""household_industry_workers"": 6, ""other_workers"": 15, ""children_0_6"": 110, ""non_working_population"": 571, ""marginal_cultivators"": 2, ""marginal_agri_labourers"": 1}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035415-2011,LOC-VIL-035415,VIL-PB-035415,2011,1770,358,928,842,720,642,78,39.44,1158,"{""agricultural_laborers"": 291, ""cultivators"": 180, ""household_industry_workers"": 3, ""other_workers"": 168, ""children_0_6"": 245, ""non_working_population"": 1050, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 34}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035416-2011,LOC-VIL-035416,VIL-PB-035416,2011,1566,296,822,744,589,588,1,53.96,498,"{""agricultural_laborers"": 228, ""cultivators"": 296, ""household_industry_workers"": 0, ""other_workers"": 64, ""children_0_6"": 198, ""non_working_population"": 977, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035417-2011,LOC-VIL-035417,VIL-PB-035417,2011,1550,306,830,720,537,425,112,42.84,986,"{""agricultural_laborers"": 291, ""cultivators"": 108, ""household_industry_workers"": 0, ""other_workers"": 26, ""children_0_6"": 225, ""non_working_population"": 1013, ""marginal_cultivators"": 2, ""marginal_agri_labourers"": 109}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035418-2011,LOC-VIL-035418,VIL-PB-035418,2011,2205,451,1179,1026,740,660,80,50.57,1153,"{""agricultural_laborers"": 328, ""cultivators"": 242, ""household_industry_workers"": 11, ""other_workers"": 79, ""children_0_6"": 278, ""non_working_population"": 1465, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 76}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035419-2011,LOC-VIL-035419,VIL-PB-035419,2011,1360,275,716,644,462,461,1,63.75,160,"{""agricultural_laborers"": 59, ""cultivators"": 368, ""household_industry_workers"": 0, ""other_workers"": 34, ""children_0_6"": 151, ""non_working_population"": 898, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035420-2011,LOC-VIL-035420,VIL-PB-035420,2011,2007,382,1066,941,687,671,16,54.46,508,"{""agricultural_laborers"": 175, ""cultivators"": 466, ""household_industry_workers"": 0, ""other_workers"": 30, ""children_0_6"": 227, ""non_working_population"": 1320, ""marginal_cultivators"": 5, ""marginal_agri_labourers"": 9}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035421-2011,LOC-VIL-035421,VIL-PB-035421,2011,2013,399,1054,959,885,637,248,48.98,881,"{""agricultural_laborers"": 267, ""cultivators"": 312, ""household_industry_workers"": 10, ""other_workers"": 48, ""children_0_6"": 247, ""non_working_population"": 1128, ""marginal_cultivators"": 71, ""marginal_agri_labourers"": 163}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035422-2011,LOC-VIL-035422,VIL-PB-035422,2011,1687,303,865,822,546,507,39,44.64,828,"{""agricultural_laborers"": 129, ""cultivators"": 233, ""household_industry_workers"": 3, ""other_workers"": 142, ""children_0_6"": 181, ""non_working_population"": 1141, ""marginal_cultivators"": 3, ""marginal_agri_labourers"": 31}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035423-2011,LOC-VIL-035423,VIL-PB-035423,2011,1148,205,611,537,348,321,27,50.96,453,"{""agricultural_laborers"": 113, ""cultivators"": 160, ""household_industry_workers"": 0, ""other_workers"": 48, ""children_0_6"": 122, ""non_working_population"": 800, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 24}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035424-2011,LOC-VIL-035424,VIL-PB-035424,2011,1053,200,550,503,363,361,2,58.31,171,"{""agricultural_laborers"": 57, ""cultivators"": 273, ""household_industry_workers"": 0, ""other_workers"": 31, ""children_0_6"": 110, ""non_working_population"": 690, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035425-2011,LOC-VIL-035425,VIL-PB-035425,2011,911,158,478,433,384,362,22,47.75,273,"{""agricultural_laborers"": 143, ""cultivators"": 199, ""household_industry_workers"": 9, ""other_workers"": 11, ""children_0_6"": 115, ""non_working_population"": 527, ""marginal_cultivators"": 4, ""marginal_agri_labourers"": 10}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035426-2011,LOC-VIL-035426,VIL-PB-035426,2011,3984,803,2126,1858,1505,1143,362,45.43,3005,"{""agricultural_laborers"": 712, ""cultivators"": 258, ""household_industry_workers"": 10, ""other_workers"": 163, ""children_0_6"": 562, ""non_working_population"": 2479, ""marginal_cultivators"": 16, ""marginal_agri_labourers"": 323}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035427-2011,LOC-VIL-035427,VIL-PB-035427,2011,1358,243,713,645,461,422,39,57.29,215,"{""agricultural_laborers"": 55, ""cultivators"": 324, ""household_industry_workers"": 4, ""other_workers"": 39, ""children_0_6"": 159, ""non_working_population"": 897, ""marginal_cultivators"": 3, ""marginal_agri_labourers"": 25}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035428-2011,LOC-VIL-035428,VIL-PB-035428,2011,1962,360,1033,929,572,518,54,51.17,886,"{""agricultural_laborers"": 232, ""cultivators"": 241, ""household_industry_workers"": 2, ""other_workers"": 43, ""children_0_6"": 245, ""non_working_population"": 1390, ""marginal_cultivators"": 6, ""marginal_agri_labourers"": 19}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035429-2011,LOC-VIL-035429,VIL-PB-035429,2011,1850,346,976,874,807,737,70,52.59,840,"{""agricultural_laborers"": 368, ""cultivators"": 282, ""household_industry_workers"": 4, ""other_workers"": 83, ""children_0_6"": 209, ""non_working_population"": 1043, ""marginal_cultivators"": 9, ""marginal_agri_labourers"": 56}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035430-2011,LOC-VIL-035430,VIL-PB-035430,2011,3379,624,1740,1639,1117,1062,55,46.02,2494,"{""agricultural_laborers"": 669, ""cultivators"": 229, ""household_industry_workers"": 23, ""other_workers"": 141, ""children_0_6"": 420, ""non_working_population"": 2262, ""marginal_cultivators"": 4, ""marginal_agri_labourers"": 40}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035431-2011,LOC-VIL-035431,VIL-PB-035431,2011,3169,573,1679,1490,1224,1120,104,55.82,952,"{""agricultural_laborers"": 329, ""cultivators"": 635, ""household_industry_workers"": 14, ""other_workers"": 142, ""children_0_6"": 365, ""non_working_population"": 1945, ""marginal_cultivators"": 14, ""marginal_agri_labourers"": 79}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035432-2011,LOC-VIL-035432,VIL-PB-035432,2011,190,38,101,89,52,49,3,39.47,63,"{""agricultural_laborers"": 11, ""cultivators"": 25, ""household_industry_workers"": 1, ""other_workers"": 12, ""children_0_6"": 22, ""non_working_population"": 138, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035433-2011,LOC-VIL-035433,VIL-PB-035433,2011,1956,373,1010,946,643,582,61,55.67,611,"{""agricultural_laborers"": 115, ""cultivators"": 279, ""household_industry_workers"": 94, ""other_workers"": 94, ""children_0_6"": 240, ""non_working_population"": 1313, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 56}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035434-2011,LOC-VIL-035434,VIL-PB-035434,2011,517,105,278,239,166,156,10,57.25,97,"{""agricultural_laborers"": 33, ""cultivators"": 113, ""household_industry_workers"": 0, ""other_workers"": 10, ""children_0_6"": 58, ""non_working_population"": 351, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 10}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035435-2011,LOC-VIL-035435,VIL-PB-035435,2011,297,63,157,140,120,115,5,56.57,101,"{""agricultural_laborers"": 46, ""cultivators"": 59, ""household_industry_workers"": 0, ""other_workers"": 10, ""children_0_6"": 34, ""non_working_population"": 177, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 2}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035436-2011,LOC-VIL-035436,VIL-PB-035436,2011,2473,489,1311,1162,983,853,130,49.98,1472,"{""agricultural_laborers"": 530, ""cultivators"": 246, ""household_industry_workers"": 0, ""other_workers"": 77, ""children_0_6"": 310, ""non_working_population"": 1490, ""marginal_cultivators"": 16, ""marginal_agri_labourers"": 106}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035437-2011,LOC-VIL-035437,VIL-PB-035437,2011,127,26,65,62,35,35,0,39.37,127,"{""agricultural_laborers"": 35, ""cultivators"": 0, ""household_industry_workers"": 0, ""other_workers"": 0, ""children_0_6"": 19, ""non_working_population"": 92, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035438-2011,LOC-VIL-035438,VIL-PB-035438,2011,774,135,412,362,249,245,4,56.46,199,"{""agricultural_laborers"": 59, ""cultivators"": 185, ""household_industry_workers"": 0, ""other_workers"": 1, ""children_0_6"": 94, ""non_working_population"": 525, ""marginal_cultivators"": 1, ""marginal_agri_labourers"": 3}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035439-2011,LOC-VIL-035439,VIL-PB-035439,2011,1585,322,829,756,498,484,14,55.65,674,"{""agricultural_laborers"": 155, ""cultivators"": 232, ""household_industry_workers"": 1, ""other_workers"": 96, ""children_0_6"": 176, ""non_working_population"": 1087, ""marginal_cultivators"": 3, ""marginal_agri_labourers"": 2}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035440-2011,LOC-VIL-035440,VIL-PB-035440,2011,1430,243,750,680,489,489,0,53.43,736,"{""agricultural_laborers"": 225, ""cultivators"": 204, ""household_industry_workers"": 0, ""other_workers"": 60, ""children_0_6"": 181, ""non_working_population"": 941, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035441-2011,LOC-VIL-035441,VIL-PB-035441,2011,2146,365,1153,993,834,704,130,52.42,581,"{""agricultural_laborers"": 192, ""cultivators"": 360, ""household_industry_workers"": 0, ""other_workers"": 152, ""children_0_6"": 278, ""non_working_population"": 1312, ""marginal_cultivators"": 7, ""marginal_agri_labourers"": 44}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035442-2011,LOC-VIL-035442,VIL-PB-035442,2011,1777,371,904,873,518,499,19,52.73,1029,"{""agricultural_laborers"": 171, ""cultivators"": 133, ""household_industry_workers"": 3, ""other_workers"": 192, ""children_0_6"": 245, ""non_working_population"": 1259, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 2}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035443-2011,LOC-VIL-035443,VIL-PB-035443,2011,456,90,241,215,140,117,23,61.18,132,"{""agricultural_laborers"": 18, ""cultivators"": 81, ""household_industry_workers"": 0, ""other_workers"": 18, ""children_0_6"": 53, ""non_working_population"": 316, ""marginal_cultivators"": 2, ""marginal_agri_labourers"": 21}",SRC-GOI-CENSUS-2011,0.99,official
DEMO-035444-2011,LOC-VIL-035444,VIL-PB-035444,2011,697,125,382,315,246,246,0,50.79,371,"{""agricultural_laborers"": 132, ""cultivators"": 76, ""household_industry_workers"": 0, ""other_workers"": 38, ""children_0_6"": 90, ""non_working_population"": 451, ""marginal_cultivators"": 0, ""marginal_agri_labourers"": 0}",SRC-GOI-CENSUS-2011,0.99,official
